title,summary,keywords,score
"Designing at Scale: Challenges, Pitfalls, and Lessons Learned","This paper discusses the inevitability of architectural decisions in large-scale software systems becoming mistakes over time. It presents real-world examples of design choices that turned into liabilities, identifies recurring patterns of pain, and offers lessons on making conscious trade-offs while minimizing future regrets. The main result is a set of insights for engineers to avoid common pitfalls and leave fewer problematic decisions for successors.",large-scale systems; architectural decisions; design pitfalls; technical debt; software evolution,1
How Context-Sensitive Static Analysis Led to the Best Smart Contract Decompiler,"This paper argues that context-sensitive static analysis is a powerful tool for decompilation, particularly in the domain of Ethereum smart contracts. It presents how such analysis enabled the creation of the most advanced decompiler for Ethereum VM bytecode, framing decompilation as a problem of determining program behavior for all inputs. The talk demonstrates how unusual forms of static analysis can solve this challenge.",static analysis; decompilation; smart contracts; Ethereum VM; context-sensitive analysis,1
Find My Code Twin: Improving SNIPPET SEARCH Performance Using LLMs in Practice,"This paper describes SNIPPET SEARCH, a code clone detection and snippet search framework deployed at Samsung Electronics that uses a two-stage approach combining LLM-based summarization with token-level similarity refinement. The system achieves high performance across multiple programming languages, improving F1 scores by 21-28% over existing methods, and improves test case quality by at least 20% in embedded systems projects.",code clone detection; snippet search; LLM summarization; enterprise software; multilingual code search,3
R-Log: Incentivizing Log Analysis Capability in LLMs via Reasoning-based Reinforcement Learning,"This paper introduces R-Log, a method that trains large language models to analyze software system logs more effectively by first teaching them structured reasoning strategies based on human expert practices, then refining their performance using reinforcement learning in a simulated operations environment. The main result is that R-Log significantly outperforms existing approaches across five log analysis tasks, especially on unseen data (improving accuracy by 228%), and a faster variant achieves 5x speedup while retaining 93% of the effectiveness.",log analysis; reasoning-based reinforcement learning; large language models; operations and maintenance (O&M); hallucination reduction,3
PerFrame: Monitoring GUI Loading Performance in Mobile Apps via Semantic Distinguish,"PerFrame is a framework that uses a multimodal large language model to automatically monitor GUI loading performance in mobile apps by identifying start and end frames from screencasts. It outperforms previous methods, achieving less than 5-frame discrepancy in 61.6% of test cases and a 27.7% improvement over prior approaches. This automation reduces manual effort and accelerates testing efficiency for app reliability.",GUI loading performance; multimodal large language model; mobile app testing; UI animation handling; semantic frame distinction,2
Automated Software Test Generation at Industry Scale Using a Multi-Agent Architecture and Workflow Integration,"This paper presents AutoCover, a production system that uses large language models and a multi-agent architecture to automatically generate, validate, and propose software tests at industry scale. The system supports three interaction modes (CLI, Headless, and IDE) and includes validation gates like coverage checks and flakiness defenses. Its main result is that AutoCover now generates about 11% of all new tests reviewed and added to the company's codebase.",automated test generation; multi-agent architecture; large language models; workflow integration; coverage improvement,2
Learning without Forgetting: Towards Continual learning of Fault Localization Models in Industrial Software Systems,"The paper presents Canto, a continual learning framework for fault localization in large-scale industrial software systems that enables models to learn new faults without forgetting old ones. By extracting fine-grained semantics from logs and using unsupervised clustering to select representative examples, Canto significantly outperforms existing continual learning methods, improving effectiveness by 17-45%.",continual learning; fault localization; software system testing; catastrophic forgetting; industrial software,1
Memory-Efficient Large Language Models for Program Repair with Semantic-Guided Patch Generation,"This paper introduces FLAMES, a memory-efficient LLM-based automated program repair method that replaces memory-heavy beam search with greedy decoding guided by semantic feedback from test validation. FLAMES reduces GPU memory usage by up to 83% while fixing more bugs (133 on Defects4J) and improving patch generation on other benchmarks compared to existing approaches.",automated program repair; large language models; memory efficiency; semantic-guided patch generation; greedy decoding,2
Func: Reducing the impact of Android framework evolution on malware detection,"This paper addresses how Android framework updates cause APIs and permissions to change, harming malware detection accuracy. The authors propose a new robust representation (Func) that maps deprecated and replacement APIs/permissions, using an LLM to find replacements when documentation is missing. Experiments show that malware detectors using Func features achieve significantly better F1 scores across Android API levels 9-24.",Android malware detection; framework evolution; API deprecation; permission changes; LLM-assisted mining,2
Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities,Diffploit is a tool that automatically migrates exploits for open-source library vulnerabilities across different software versions by analyzing behavioral differences and using LLM-guided adaptation. It outperforms existing tools by successfully migrating 84.2% of exploits and has discovered previously unknown vulnerable versions and incorrect vulnerability reports.,exploit migration; vulnerability detection; LLM-based adaptation; software evolution; open-source libraries,2
