title,summary,keywords,score
"Designing at Scale: Challenges, Pitfalls, and Lessons Learned",,,
How Context-Sensitive Static Analysis Led to the Best Smart Contract Decompiler,,,
Find My Code Twin: Improving SNIPPET SEARCH Performance Using LLMs in Practice,"This paper presents SNIPPET SEARCH, a code clone detection and snippet search framework deployed at Samsung Electronics that uses a two-stage approach combining LLM-based summarization with token-level similarity refinement. The system achieves significant performance improvements over existing methods, with F1 scores of 0.640 on BigCloneBench and consistent results across multiple programming languages, and improves test case quality by at least 20% in embedded system projects.",code clone detection; snippet search; LLM-based summarization; enterprise code search; BigCloneBench,1
R-Log: Incentivizing Log Analysis Capability in LLMs via Reasoning-based Reinforcement Learning,"This paper introduces R-Log, a method that uses reasoning-based reinforcement learning to improve how large language models analyze log data. By training models to reason step-by-step like human engineers and rewarding correct outcomes, R-Log significantly outperforms existing approaches, especially on unseen log scenarios, and is deployed in production at Huawei.",log analysis; reinforcement learning; large language models; reasoning; software maintenance,1
PerFrame: Monitoring GUI Loading Performance in Mobile Apps via Semantic Distinguish,"This paper presents PerFrame, a framework that uses a multimodal large language model to automatically measure GUI loading performance from mobile app screencasts, reducing the need for manual effort. It handles diverse usage environments and UI animations by introducing external recording and a scenario-aware pipeline. Evaluated on real-world recordings from Meituan, PerFrame significantly improves accuracy in identifying loading start and end frames over previous methods.",GUI loading performance; multimodal large language model; mobile app testing; UI animation handling; automated performance monitoring,1
Automated Software Test Generation at Industry Scale Using a Multi-Agent Architecture and Workflow Integration,"This paper presents AutoCover, a production system that uses a multi-agent architecture with large language models to automatically generate, validate, and propose software tests at industry scale. It operates through CLI, headless, and IDE modes, and generates about 11% of all new tests reviewed and added to the company's codebase.",multi-agent architecture; automated test generation; large language models; workflow integration; software testing,2
Learning without Forgetting: Towards Continual learning of Fault Localization Models in Industrial Software Systems,"This paper addresses the challenge of continually adapting fault localization models to evolving software and tests in large-scale industrial systems, where retraining from scratch is too slow and fine-tuning causes catastrophic forgetting. The authors propose Canto, a continual learning framework that extracts program semantics from logs, selects representative exemplars via clustering, and adjusts training loss to prioritize poorly mastered samples, achieving 17-45% improvements over existing methods.",continual learning; fault localization; software systems; catastrophic forgetting; program semantics,1
Memory-Efficient Large Language Models for Program Repair with Semantic-Guided Patch Generation,"This paper introduces FLAMES, a novel automated program repair (APR) technique that uses large language models (LLMs) with semantic-guided patch generation to reduce memory usage. Unlike conventional LLM-based APR methods that rely on memory-intensive beam search, FLAMES uses greedy decoding guided by test feedback to select promising tokens, cutting memory consumption by up to 83% while fixing more bugs. It achieves better repair performance than existing baselines on multiple benchmark datasets.",automated program repair; large language models; memory efficiency; semantic-guided patch generation; beam search,3
Func: Reducing the impact of Android framework evolution on malware detection,"This paper addresses the problem of Android framework evolution causing inaccuracies in malware detection due to changes in APIs and permissions. The authors propose a new representation called Func that makes features robust to these changes by grouping deprecated APIs/permissions with their replacements, using an LLM to find missing replacement relationships. Experiments with four malware detectors show that using Func features leads to statistically significant improvements in F1 scores across API levels 9 to 24.",Android malware detection; framework evolution; API deprecation; permissions; feature representation,2
Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities,"This paper presents Diffploit, a tool that automatically adapts exploits for software library vulnerabilities across different versions by analyzing code differences and using an LLM-based iterative refinement process. The main result is that Diffploit successfully migrates 84.2% of exploits across 689 version-migration tasks, significantly outperforming existing tools, and also discovers previously unreported vulnerable versions.",exploit migration; vulnerability; open source libraries; diff-driven; LLM-based adaptation,2
